,title,url
27,Flipster Magazines,"https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=eon"
28,Fold3 History & Genealogy Archives,http://research.cincinnatilibrary.org:2048/login?url=http://fold3library.proquest.com/?accountid=39387
29,Foundation Directory Online Professional,https://fconline.foundationcenter.org/ipl.php
30,Foundation Grants to Individuals Online,https://grantstoindividuals.org/
31,Freading,https://cincinnatilibrary.freading.com/
32,Freegal Music,https://cincinnatilibrary.freegalmusic.com/
33,Gale Artemis Literary Sources,http://research.cincinnatilibrary.org/login?url=https://link.gale.com/apps/GLS?u=cinc37305
34,Gale In Context: Elementary,http://research.cincinnatilibrary.org/login?url=https://link.gale.com/apps/ITKE?u=cinc37305
35,Gale Literature Criticism,https://research.cincinnatilibrary.org/login?url=https://link.gale.com/apps/LCO?u=cinc37305
36,Gale Literature Resource Center,https://research.cincinnatilibrary.org/login?url=https://link.gale.com/apps/LitRC?u=cinc37305
37,Gale Virtual Reference Library,https://login.research.cincinnatilibrary.org/login?qurl=https://link.gale.com/apps/menu?u=cinc37305
38,Gongwer News Service,http://www.gongwer-oh.com/
39,Heritage Quest,https://research.cincinnatilibrary.org/login?url=https://www.heritagequestonline.com/barcode?aid=39387
40,Hobbies & Crafts Reference Center,http://ohioweblibrary.org/db/hobbies
41,Home Improvement Reference Center,http://ohioweblibrary.org/db/homeimprovement
42,Homework HelpNow,https://www.brainfuse.com/login/csl.asp?a_id=5096E415
43,Hoopla,http://www.hoopladigital.com/
44,Indiana State Library Talking Book and Braille Library,https://www.in.gov/library/tbbl.htm
45,JobNow,https://research.cincinnatilibrary.org/login?url=http://main.cincinnatilibrary.oh.jobnow.brainfuse.com
46,Kanopy,https://cincinnatilibrary.kanopystreaming.com/
47,Kentucky Talking Book Library,https://kdla.ky.gov/librarians/talkingbook/Pages/default.aspx
48,LinkedIn Learning (formerly Lynda.com),https://www.linkedin.com/learning-login/go/oh0049
49,Literary Reference Center,"https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=lrc"
50,LitFinder,https://research.cincinnatilibrary.org/login?url=https://link.gale.com/apps/LITF?u=cinc37305
51,MAS Ultra – School Edition,https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip&profile=EHOST&defaultdb=ulh
52,MasterFile Premier,https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip&profile=EHOST&defaultdb=f5h
53,Mergent Archives,https://research.cincinnatilibrary.org/login?url=http://www.mergentarchives.com/
54,Mergent Online,https://research.cincinnatilibrary.org/login?url=http://www.mergentonline.com
55,Middle Search Plus,https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip&profile=EHOST&defaultdb=mih
56,Morningstar Investment Research Center,https://research.cincinnatilibrary.org/login?url=https://ar.morningstar.com/mirc/membership/default.aspx
57,National Geographic Magazine Archive (1888-1994),http://research.cincinnatilibrary.org/login?url=https://link.gale.com/apps/NGMA?u=cinc37305
58,National Library Service for the Blind and Physically Handicapped,https://www.loc.gov/nls/
